threshold,year_group,cumulative_male_population,cumulative_female_population
0.0,0-14 years,2.023938024,-1.903779811
0.0,15-64 years,5.220641902,-5.095569677
0.0,65 years and over,0.753470767,-0.939884811
1.7,0-14 years,0.963715317,-0.905319122
1.7,15-64 years,2.536760717,-2.475046636
1.7,65 years and over,0.350090527,-0.43390588
2.0,0-14 years,0.963713795,-0.905317674
2.0,15-64 years,2.536752079,-2.475038078
2.0,65 years and over,0.350085413,-0.433899563
2.4,0-14 years,0.96357343,-0.905178375
2.4,15-64 years,2.536467591,-2.474666549
2.4,65 years and over,0.350067656,-0.433876858
2.5,0-14 years,0.963518907,-0.905127041
2.5,15-64 years,2.536302634,-2.474486828
2.5,65 years and over,0.350050908,-0.43385915
2.6,0-14 years,0.96164768,-0.903331341
2.6,15-64 years,2.533384966,-2.471635137
2.6,65 years and over,0.349861057,-0.433665937
2.7,0-14 years,0.936803542,-0.879290263
2.7,15-64 years,2.475228111,-2.410211873
2.7,65 years and over,0.343830672,-0.426757284
2.8,0-14 years,0.935584811,-0.878104107
2.8,15-64 years,2.472700468,-2.407656844
2.8,65 years and over,0.34366153,-0.426561608
2.9,0-14 years,0.89158194,-0.835887907
2.9,15-64 years,2.396151647,-2.334591326
2.9,65 years and over,0.338178897,-0.4202241
3.0,0-14 years,0.883078698,-0.827414018
3.0,15-64 years,2.387421632,-2.325155745
3.0,65 years and over,0.337828838,-0.419735605
3.2,0-14 years,0.690819847,-0.653128838
3.2,15-64 years,1.87883308,-1.848675668
3.2,65 years and over,0.293154257,-0.367645706
3.3,15-64 years,1.878830367,-1.848673123
3.3,65 years and over,0.293153661,-0.367645084
3.3,0-14 years,0.690819081,-0.653128141
3.4,0-14 years,0.689123724,-0.651418797
3.4,15-64 years,1.875096468,-1.84486467
3.4,65 years and over,0.292924861,-0.367350676
3.5,0-14 years,0.602402695,-0.568270588
3.5,15-64 years,1.708525547,-1.679117007
3.5,65 years and over,0.27899983,-0.35108352
3.7,0-14 years,0.579581669,-0.545772257
3.7,15-64 years,1.675179783,-1.645444074
3.7,65 years and over,0.277111999,-0.348846693
3.8,0-14 years,0.572187112,-0.538735606
3.8,15-64 years,1.655683202,-1.625346268
3.8,65 years and over,0.275393322,-0.346620672
3.9,0-14 years,0.545331731,-0.512314732
3.9,15-64 years,1.612236114,-1.581432517
3.9,65 years and over,0.272030498,-0.342094997
4.0,0-14 years,0.539880713,-0.506970867
4.0,15-64 years,1.603754241,-1.572994873
4.0,65 years and over,0.271524003,-0.341503697
4.1,0-14 years,0.519135536,-0.486700866
4.1,15-64 years,1.579159335,-1.546284037
4.1,65 years and over,0.270125421,-0.339726838
4.2,0-14 years,0.511428449,-0.47932386
4.2,15-64 years,1.557507879,-1.524986481
4.2,65 years and over,0.267522859,-0.336541462
4.3,0-14 years,0.511118518,-0.479020667
4.3,15-64 years,1.554990358,-1.524129513
4.3,65 years and over,0.267467153,-0.336498791
4.4,65 years and over,0.265823678,-0.334559367
4.4,0-14 years,0.489974618,-0.45822596
4.4,15-64 years,1.522957816,-1.491706233
4.6,0-14 years,0.464652984,-0.434302473
4.6,15-64 years,1.464686503,-1.434352709
4.6,65 years and over,0.258299285,-0.326021054
4.7,0-14 years,0.454001099,-0.424195875
4.7,15-64 years,1.432043685,-1.402413952
4.7,65 years and over,0.254430503,-0.321215896
4.8,0-14 years,0.441025308,-0.412602718
4.8,15-64 years,1.395763236,-1.366708366
4.8,65 years and over,0.251083699,-0.316318509
4.9,0-14 years,0.441015621,-0.412593203
4.9,15-64 years,1.395727615,-1.366674888
4.9,65 years and over,0.251077678,-0.316312027
5.1,0-14 years,0.439117415,-0.410760504
5.1,15-64 years,1.390909633,-1.361900454
5.1,65 years and over,0.250646378,-0.315800064
5.2,65 years and over,0.247470973,-0.311149889
5.2,0-14 years,0.413555691,-0.386280387
5.2,15-64 years,1.340548917,-1.312428282
5.3,0-14 years,0.405521012,-0.378610172
5.3,15-64 years,1.325606845,-1.296310554
5.3,65 years and over,0.246273978,-0.309827475
5.4,0-14 years,0.39083507,-0.364578479
5.4,15-64 years,1.287618375,-1.259772592
5.4,65 years and over,0.243141072,-0.306226228
5.5,0-14 years,0.382273309,-0.356064837
5.5,15-64 years,1.276687734,-1.248352545
5.5,65 years and over,0.242560352,-0.305487082
5.6,0-14 years,0.377050039,-0.351053449
5.6,15-64 years,1.255313915,-1.2350241
5.6,65 years and over,0.241582473,-0.304696889
5.7,65 years and over,0.148900306,-0.197351546
5.7,0-14 years,0.248538119,-0.238057576
5.7,15-64 years,0.745114467,-0.753298487
5.8,65 years and over,0.148732473,-0.197136769
5.8,0-14 years,0.247820125,-0.237358497
5.8,15-64 years,0.743145452,-0.751301711
6.0,0-14 years,0.247749858,-0.237292751
6.0,15-64 years,0.742878913,-0.751048034
6.0,65 years and over,0.148677892,-0.197072356
